timestamp,power_kwh,voltage,ambient_temp_c
2025-06-01 15:30:00,30.07,232.5,22.7
2025-06-01 15:45:00,29.53,233.8,22.8
2025-06-01 16:00:00,32.16,231.2,22.7
2025-06-01 16:15:00,33.81,229.5,23.2
2025-06-01 16:30:00,32.05,229.5,22.9
2025-06-01 16:45:00,32.55,226.6,23.3
2025-06-01 17:00:00,37.99,226.2,23.1
2025-06-01 17:15:00,38.29,226.0,22.7
2025-06-01 17:30:00,37.82,227.2,23.0
2025-06-01 17:45:00,38.97,226.0,23.4
2025-06-01 18:00:00,42.43,229.8,23.1
2025-06-01 18:15:00,43.39,232.5,22.8
2025-06-01 18:30:00,41.61,229.1,23.4
2025-06-01 18:45:00,46.18,227.0,23.3
2025-06-01 19:00:00,48.7,228.7,23.1
2025-06-01 19:15:00,44.33,234.0,23.4
2025-06-01 19:30:00,47.42,232.8,23.1
2025-06-01 19:45:00,51.48,232.1,23.1
2025-06-01 20:00:00,48.83,230.4,23.8
2025-06-01 20:15:00,52.72,228.4,23.2
2025-06-01 20:30:00,50.48,231.5,23.4
2025-06-01 20:45:00,56.19,229.5,23.1
2025-06-01 21:00:00,52.07,226.2,23.9
2025-06-01 21:15:00,54.19,229.1,23.7
2025-06-01 21:30:00,57.45,230.0,23.9
2025-06-01 21:45:00,59.22,233.7,23.0
2025-06-01 22:00:00,57.05,228.7,23.7
2025-06-01 22:15:00,58.02,227.7,23.6
2025-06-01 22:30:00,59.21,233.5,23.9
2025-06-01 22:45:00,59.67,231.9,23.2
2025-06-01 23:00:00,57.17,231.9,23.5
2025-06-01 23:15:00,57.03,233.3,23.7
2025-06-01 23:30:00,58.45,231.2,23.1
2025-06-01 23:45:00,60.77,233.2,23.9
2025-06-02 00:00:00,57.42,230.9,23.9
2025-06-02 00:15:00,56.99,232.5,23.2
2025-06-02 00:30:00,59.84,230.9,23.2
2025-06-02 00:45:00,57.05,228.7,24.0
2025-06-02 01:00:00,59.74,229.2,23.3
2025-06-02 01:15:00,58.79,230.4,23.5
2025-06-02 01:30:00,59.77,227.7,23.2
2025-06-02 01:45:00,54.22,226.5,23.5
2025-06-02 02:00:00,56.86,227.3,23.6
2025-06-02 02:15:00,52.36,227.9,23.8
2025-06-02 02:30:00,51.16,232.3,23.9
2025-06-02 02:45:00,51.55,227.3,24.2
2025-06-02 03:00:00,48.67,226.1,24.2
2025-06-02 03:15:00,51.26,230.7,23.6
2025-06-02 03:30:00,49.99,232.3,23.8
2025-06-02 03:45:00,45.37,227.1,23.6
2025-06-02 04:00:00,46.07,227.9,23.5
2025-06-02 04:15:00,46.27,230.8,24.1
2025-06-02 04:30:00,44.55,226.7,24.2
2025-06-02 04:45:00,41.44,229.4,24.0
2025-06-02 05:00:00,39.56,233.9,24.4
2025-06-02 05:15:00,40.92,232.9,24.4
2025-06-02 05:30:00,39.09,229.7,24.1
2025-06-02 05:45:00,36.16,226.4,23.6
2025-06-02 06:00:00,34.73,232.8,24.4
2025-06-02 06:15:00,35.81,227.3,24.4
2025-06-02 06:30:00,32.19,228.9,23.7
2025-06-02 06:45:00,32.49,230.9,24.4
2025-06-02 07:00:00,32.89,226.8,23.6
2025-06-02 07:15:00,32.67,227.3,23.6
2025-06-02 07:30:00,31.89,226.6,23.8
2025-06-02 07:45:00,30.93,230.6,24.0
2025-06-02 08:00:00,32.29,233.2,23.9
2025-06-02 08:15:00,28.11,227.8,23.9
2025-06-02 08:30:00,29.67,227.6,24.6
2025-06-02 08:45:00,27.49,230.7,23.7
2025-06-02 09:00:00,29.62,227.7,24.3
2025-06-02 09:15:00,28.13,229.0,24.2
2025-06-02 09:30:00,28.38,228.9,24.0
2025-06-02 09:45:00,29.5,226.3,24.3
2025-06-02 10:00:00,29.53,226.9,24.2
2025-06-02 10:15:00,30.82,232.1,24.0
2025-06-02 10:30:00,30.64,227.3,24.6
2025-06-02 10:45:00,35.23,233.2,24.4
2025-06-02 11:00:00,33.57,227.8,24.2
2025-06-02 11:15:00,34.2,232.9,24.1
2025-06-02 11:30:00,34.8,229.7,23.9
2025-06-02 11:45:00,35.49,233.0,24.1
2025-06-02 12:00:00,36.56,227.8,24.8
2025-06-02 12:15:00,40.71,233.3,24.8
2025-06-02 12:30:00,38.67,226.4,24.9
2025-06-02 12:45:00,41.73,230.0,24.4
2025-06-02 13:00:00,40.9,232.5,24.7
2025-06-02 13:15:00,40.35,230.0,24.1
2025-06-02 13:30:00,45.52,231.5,24.4
2025-06-02 13:45:00,43.56,228.9,24.3
2025-06-02 14:00:00,49.5,226.1,24.7
2025-06-02 14:15:00,45.71,229.7,24.6
2025-06-02 14:30:00,49.46,233.8,24.5
2025-06-02 14:45:00,47.98,231.6,24.3
2025-06-02 15:00:00,53.53,231.0,24.8
2025-06-02 15:15:00,49.42,231.0,24.5
2025-06-02 15:30:00,54.62,230.2,24.4
2025-06-02 15:45:00,55.99,231.6,24.8
2025-06-02 16:00:00,55.86,227.7,24.9
2025-06-02 16:15:00,56.99,228.7,25.1
2025-06-02 16:30:00,57.15,233.3,24.6
2025-06-02 16:45:00,55.07,229.1,24.7
2025-06-02 17:00:00,55.62,228.9,24.9
2025-06-02 17:15:00,60.12,230.5,25.0
2025-06-02 17:30:00,57.14,228.7,24.8
2025-06-02 17:45:00,60.53,231.9,25.0
2025-06-02 18:00:00,62.09,231.6,25.1
2025-06-02 18:15:00,61.54,228.6,25.2
2025-06-02 18:30:00,60.01,229.4,24.4
2025-06-02 18:45:00,59.14,229.6,24.9
2025-06-02 19:00:00,61.69,229.8,24.9
2025-06-02 19:15:00,61.37,233.2,24.8
2025-06-02 19:30:00,58.23,231.4,25.1
2025-06-02 19:45:00,61.4,233.1,24.6
2025-06-02 20:00:00,60.25,226.7,24.8
2025-06-02 20:15:00,55.34,233.7,24.5
2025-06-02 20:30:00,54.5,226.9,24.6
2025-06-02 20:45:00,53.57,227.6,25.4
2025-06-02 21:00:00,51.89,229.3,25.2
2025-06-02 21:15:00,56.36,229.8,24.9
2025-06-02 21:30:00,54.15,226.2,24.7
2025-06-02 21:45:00,48.76,232.4,25.4
2025-06-02 22:00:00,50.61,228.7,25.1
2025-06-02 22:15:00,50.24,232.3,25.1
2025-06-02 22:30:00,49.09,230.2,25.1
2025-06-02 22:45:00,46.61,230.5,25.5
2025-06-02 23:00:00,44.46,232.3,24.9
2025-06-02 23:15:00,43.6,228.3,25.5
2025-06-02 23:30:00,41.01,228.3,25.6
2025-06-02 23:45:00,42.6,227.3,25.2
2025-06-03 00:00:00,38.78,227.4,25.4
2025-06-03 00:15:00,41.93,232.4,24.9
2025-06-03 00:30:00,36.06,234.0,25.3
2025-06-03 00:45:00,36.91,229.0,25.0
2025-06-03 01:00:00,37.46,231.3,25.7
2025-06-03 01:15:00,33.12,229.6,25.8
2025-06-03 01:30:00,34.53,227.0,24.8
2025-06-03 01:45:00,36.07,232.1,25.8
2025-06-03 02:00:00,35.29,227.2,25.8
2025-06-03 02:15:00,32.33,230.1,25.5
2025-06-03 02:30:00,30.24,233.2,25.8
2025-06-03 02:45:00,32.5,234.0,25.6
2025-06-03 03:00:00,32.38,231.8,25.8
2025-06-03 03:15:00,29.32,226.9,25.4
2025-06-03 03:30:00,27.33,231.4,25.1
2025-06-03 03:45:00,27.15,230.9,25.2
2025-06-03 04:00:00,29.17,228.6,25.6
2025-06-03 04:15:00,28.31,230.2,25.8
2025-06-03 04:30:00,31.97,227.6,25.1
2025-06-03 04:45:00,32.79,231.4,26.0
2025-06-03 05:00:00,33.97,229.2,25.5
2025-06-03 05:15:00,32.25,230.1,25.1
2025-06-03 05:30:00,33.25,229.2,25.8
2025-06-03 05:45:00,32.52,229.1,25.1
2025-06-03 06:00:00,32.8,228.5,25.5
2025-06-03 06:15:00,34.96,227.7,26.0
2025-06-03 06:30:00,36.98,229.3,25.6
2025-06-03 06:45:00,34.52,231.8,26.0
2025-06-03 07:00:00,38.97,229.3,26.0
2025-06-03 07:15:00,39.3,227.1,25.5
2025-06-03 07:30:00,42.79,230.2,25.5
2025-06-03 07:45:00,43.65,230.7,25.6
2025-06-03 08:00:00,39.31,231.1,25.5
2025-06-03 08:15:00,41.56,229.7,25.8
2025-06-03 08:30:00,47.25,227.6,26.1
2025-06-03 08:45:00,44.74,229.9,26.1
2025-06-03 09:00:00,46.06,230.7,25.8
2025-06-03 09:15:00,49.91,227.8,26.1
2025-06-03 09:30:00,47.6,228.4,26.0
2025-06-03 09:45:00,51.67,227.0,26.0
2025-06-03 10:00:00,50.7,227.4,26.3
2025-06-03 10:15:00,53.93,226.2,26.1
2025-06-03 10:30:00,54.04,233.8,26.0
2025-06-03 10:45:00,54.22,229.8,25.9
2025-06-03 11:00:00,54.49,231.5,26.4
2025-06-03 11:15:00,58.66,229.0,26.2
2025-06-03 11:30:00,54.59,228.1,26.0
2025-06-03 11:45:00,56.01,229.7,26.2
2025-06-03 12:00:00,57.84,226.4,25.9
2025-06-03 12:15:00,59.97,233.6,25.6
2025-06-03 12:30:00,58.27,231.1,25.6
2025-06-03 12:45:00,57.95,231.0,26.3
2025-06-03 13:00:00,60.54,227.3,25.9
2025-06-03 13:15:00,58.9,232.8,26.4
2025-06-03 13:30:00,58.58,231.6,26.0
2025-06-03 13:45:00,60.01,228.8,25.8
2025-06-03 14:00:00,57.37,228.3,26.4
2025-06-03 14:15:00,58.66,233.4,25.8
2025-06-03 14:30:00,57.05,230.0,26.5
2025-06-03 14:45:00,59.96,230.5,26.4
2025-06-03 15:00:00,60.26,232.8,26.4
2025-06-03 15:15:00,58.04,232.4,26.1
2025-06-03 15:30:00,58.51,226.9,25.9
2025-06-03 15:45:00,52.23,228.8,26.4
2025-06-03 16:00:00,52.0,229.5,26.8
2025-06-03 16:15:00,53.29,233.8,26.0
2025-06-03 16:30:00,50.9,232.0,25.9
2025-06-03 16:45:00,48.72,231.6,26.5
2025-06-03 17:00:00,48.63,227.7,26.8
2025-06-03 17:15:00,48.13,232.1,26.0
2025-06-03 17:30:00,44.47,229.9,26.3
2025-06-03 17:45:00,44.29,226.3,26.5
2025-06-03 18:00:00,45.43,229.8,26.8
2025-06-03 18:15:00,40.88,228.4,25.9
2025-06-03 18:30:00,39.96,227.0,26.5
2025-06-03 18:45:00,41.69,227.6,26.6
2025-06-03 19:00:00,37.14,227.2,26.7
2025-06-03 19:15:00,37.47,230.6,26.3
2025-06-03 19:30:00,39.82,232.2,26.6
2025-06-03 19:45:00,36.66,226.5,26.8
2025-06-03 20:00:00,37.2,230.2,26.7
2025-06-03 20:15:00,37.46,227.4,26.8
2025-06-03 20:30:00,30.83,231.8,27.0
2025-06-03 20:45:00,35.54,232.8,26.6
2025-06-03 21:00:00,33.5,227.5,26.8
2025-06-03 21:15:00,29.33,232.7,27.1
2025-06-03 21:30:00,30.7,230.1,26.5
2025-06-03 21:45:00,32.29,228.5,26.6
2025-06-03 22:00:00,30.51,230.0,26.5
2025-06-03 22:15:00,28.89,231.8,26.3
2025-06-03 22:30:00,29.99,229.1,26.7
2025-06-03 22:45:00,31.42,231.5,27.1
2025-06-03 23:00:00,28.44,229.3,27.2
2025-06-03 23:15:00,29.83,232.9,27.1
2025-06-03 23:30:00,32.36,233.5,26.6
2025-06-03 23:45:00,28.01,231.4,27.0
2025-06-04 00:00:00,30.79,230.2,27.0
2025-06-04 00:15:00,29.71,229.2,27.0
2025-06-04 00:30:00,35.53,231.9,27.2
2025-06-04 00:45:00,31.43,228.9,26.5
2025-06-04 01:00:00,32.45,232.8,26.8
2025-06-04 01:15:00,33.55,229.4,26.9
2025-06-04 01:30:00,37.72,232.1,27.0
2025-06-04 01:45:00,38.71,232.4,27.4
2025-06-04 02:00:00,37.4,231.3,27.4
2025-06-04 02:15:00,42.32,230.1,26.6
2025-06-04 02:30:00,40.3,227.0,27.0
2025-06-04 02:45:00,40.17,233.5,26.5
