transaction_id,customer_id,amount,quantity,discount_pct,category,region,created_at
TRX-000068,CUST-9529,39.89,1,0.2,Hardware,LATAM,2024-01-01 01:08:00
TRX-000069,CUST-1878,58.2,4,0.01,Consulting,EMEA,2024-01-01 01:09:00
TRX-000070,CUST-5887,22.46,5,0.0,Cloud Services,EMEA,2024-01-01 01:10:00
TRX-000071,CUST-5859,63.98,5,0.03,Hardware,APAC,2024-01-01 01:11:00
TRX-000072,CUST-7331,15.44,4,0.28,Consulting,LATAM,2024-01-01 01:12:00
TRX-000073,CUST-9571,69.14,4,0.23,Software,LATAM,2024-01-01 01:13:00
TRX-000074,CUST-9684,107.29,2,0.08,Hardware,APAC,2024-01-01 01:14:00
TRX-000075,CUST-8208,452.69,8,0.03,Cloud Services,LATAM,2024-01-01 01:15:00
TRX-000076,CUST-6276,214.71,2,0.03,Cloud Services,Americas,2024-01-01 01:16:00
TRX-000077,CUST-3062,217.16,5,0.1,Software,Americas,2024-01-01 01:17:00
TRX-000078,CUST-1064,41.07,9,0.04,Cloud Services,APAC,2024-01-01 01:18:00
TRX-000079,CUST-9006,20.95,5,0.07,Consulting,LATAM,2024-01-01 01:19:00
TRX-000080,CUST-3568,120.88,1,0.11,Consulting,EMEA,2024-01-01 01:20:00
TRX-000081,CUST-6463,98.36,9,0.13,Consulting,LATAM,2024-01-01 01:21:00
TRX-000082,CUST-3027,97.21,9,0.02,Hardware,EMEA,2024-01-01 01:22:00
TRX-000083,CUST-3695,23.85,1,0.26,Cloud Services,APAC,2024-01-01 01:23:00
TRX-000084,CUST-6258,91.72,3,0.02,Consulting,LATAM,2024-01-01 01:24:00
TRX-000085,CUST-6618,29.55,9,0.28,Hardware,Americas,2024-01-01 01:25:00
TRX-000086,CUST-7736,75.81,2,0.08,Cloud Services,LATAM,2024-01-01 01:26:00
TRX-000087,CUST-1391,17.7,2,0.08,Hardware,EMEA,2024-01-01 01:27:00
TRX-000088,CUST-6892,243.3,7,0.27,Hardware,APAC,2024-01-01 01:28:00
TRX-000089,CUST-4561,11.59,7,0.16,Cloud Services,LATAM,2024-01-01 01:29:00
TRX-000090,CUST-7184,346.26,4,0.08,Hardware,EMEA,2024-01-01 01:30:00
TRX-000091,CUST-4099,248.44,5,0.16,Consulting,Americas,2024-01-01 01:31:00
TRX-000092,CUST-7278,177.61,9,0.29,Cloud Services,APAC,2024-01-01 01:32:00
TRX-000093,CUST-9392,495.81,6,0.26,Cloud Services,EMEA,2024-01-01 01:33:00
TRX-000094,CUST-4104,16.64,2,0.07,Cloud Services,Americas,2024-01-01 01:34:00
TRX-000095,CUST-8215,133.13,7,0.01,Consulting,Americas,2024-01-01 01:35:00
TRX-000096,CUST-3454,237.1,5,0.23,Cloud Services,Americas,2024-01-01 01:36:00
TRX-000097,CUST-9996,26.25,9,0.04,Cloud Services,Americas,2024-01-01 01:37:00
TRX-000098,CUST-3731,115.47,2,0.18,Hardware,LATAM,2024-01-01 01:38:00
TRX-000099,CUST-9154,70.09,7,0.19,Consulting,Americas,2024-01-01 01:39:00
TRX-000100,CUST-6056,78.69,5,0.08,Hardware,APAC,2024-01-01 01:40:00
TRX-000101,CUST-9110,302.37,1,0.17,Software,Americas,2024-01-01 01:41:00
TRX-000102,CUST-4840,102.83,1,0.16,Software,LATAM,2024-01-01 01:42:00
TRX-000103,CUST-2028,21.75,1,0.21,Hardware,APAC,2024-01-01 01:43:00
TRX-000104,CUST-8385,342.17,5,0.27,Hardware,EMEA,2024-01-01 01:44:00
TRX-000105,CUST-1502,34.58,1,0.04,Consulting,LATAM,2024-01-01 01:45:00
TRX-000106,CUST-7910,277.78,9,0.17,Cloud Services,Americas,2024-01-01 01:46:00
TRX-000107,CUST-7938,434.53,9,0.16,Consulting,APAC,2024-01-01 01:47:00
TRX-000108,CUST-5488,262.29,8,0.15,Consulting,APAC,2024-01-01 01:48:00
TRX-000109,CUST-1206,145.66,5,0.12,Cloud Services,APAC,2024-01-01 01:49:00
TRX-000110,CUST-6134,173.3,9,0.3,Consulting,Americas,2024-01-01 01:50:00
TRX-000111,CUST-6977,154.42,2,0.22,Consulting,Americas,2024-01-01 01:51:00
TRX-000112,CUST-8721,84.06,3,0.22,Consulting,APAC,2024-01-01 01:52:00
TRX-000113,CUST-8035,48.49,3,0.22,Hardware,Americas,2024-01-01 01:53:00
TRX-000114,CUST-2484,50.26,4,0.03,Software,Americas,2024-01-01 01:54:00
TRX-000115,CUST-8858,167.64,2,0.04,Software,EMEA,2024-01-01 01:55:00
TRX-000116,CUST-1863,128.03,4,0.05,Software,Americas,2024-01-01 01:56:00
TRX-000117,CUST-3790,115.5,1,0.1,Hardware,LATAM,2024-01-01 01:57:00
TRX-000118,CUST-8408,136.88,7,0.11,Cloud Services,EMEA,2024-01-01 01:58:00
TRX-000119,CUST-9755,188.88,5,0.08,Cloud Services,APAC,2024-01-01 01:59:00
TRX-000120,CUST-6116,175.56,4,0.14,Software,APAC,2024-01-01 02:00:00
TRX-000121,CUST-7019,23.36,2,0.22,Software,Americas,2024-01-01 02:01:00
TRX-000122,CUST-2757,64.12,8,0.07,Software,LATAM,2024-01-01 02:02:00
TRX-000123,CUST-8574,46.78,3,0.05,Hardware,LATAM,2024-01-01 02:03:00
TRX-000124,CUST-7374,102.72,5,0.28,Consulting,EMEA,2024-01-01 02:04:00
TRX-000125,CUST-7892,17.61,3,0.04,Hardware,EMEA,2024-01-01 02:05:00
TRX-000126,CUST-2678,182.49,7,0.29,Software,APAC,2024-01-01 02:06:00
TRX-000127,CUST-4242,23.52,4,0.21,Hardware,EMEA,2024-01-01 02:07:00
TRX-000128,CUST-5636,48.0,9,0.19,Hardware,EMEA,2024-01-01 02:08:00
TRX-000129,CUST-2059,193.2,1,0.24,Hardware,LATAM,2024-01-01 02:09:00
TRX-000130,CUST-7668,16.35,5,0.02,Hardware,LATAM,2024-01-01 02:10:00
TRX-000131,CUST-4157,139.53,5,0.05,Consulting,LATAM,2024-01-01 02:11:00
TRX-000132,CUST-6915,320.0,7,0.02,Hardware,APAC,2024-01-01 02:12:00
TRX-000133,CUST-3693,125.37,1,0.21,Hardware,LATAM,2024-01-01 02:13:00
TRX-000134,CUST-4627,159.65,8,0.02,Hardware,APAC,2024-01-01 02:14:00
TRX-000135,CUST-6450,198.58,7,0.0,Consulting,Americas,2024-01-01 02:15:00
TRX-000136,CUST-2663,40.16,8,0.03,Cloud Services,EMEA,2024-01-01 02:16:00
TRX-000137,CUST-6592,114.38,1,0.03,Software,Americas,2024-01-01 02:17:00
TRX-000138,CUST-8392,54.36,3,0.01,Hardware,EMEA,2024-01-01 02:18:00
TRX-000139,CUST-2306,44.44,6,0.12,Cloud Services,APAC,2024-01-01 02:19:00
TRX-000140,CUST-7776,35.65,7,0.26,Software,Americas,2024-01-01 02:20:00
TRX-000141,CUST-6864,115.66,3,0.22,Software,Americas,2024-01-01 02:21:00
TRX-000142,CUST-8526,199.9,9,0.23,Software,APAC,2024-01-01 02:22:00
TRX-000143,CUST-9901,260.39,5,0.01,Hardware,EMEA,2024-01-01 02:23:00
TRX-000144,CUST-6575,77.16,7,0.19,Cloud Services,APAC,2024-01-01 02:24:00
TRX-000145,CUST-6530,66.0,7,0.11,Consulting,LATAM,2024-01-01 02:25:00
TRX-000146,CUST-5413,149.5,5,0.29,Consulting,Americas,2024-01-01 02:26:00
TRX-000147,CUST-4748,191.89,4,0.06,Software,APAC,2024-01-01 02:27:00
TRX-000148,CUST-1663,45.05,9,0.07,Software,EMEA,2024-01-01 02:28:00
TRX-000149,CUST-2998,52.34,4,0.04,Cloud Services,LATAM,2024-01-01 02:29:00
TRX-000150,CUST-8994,101.47,7,0.18,Software,APAC,2024-01-01 02:30:00
TRX-000151,CUST-2495,80.52,2,0.15,Consulting,EMEA,2024-01-01 02:31:00
TRX-000152,CUST-4304,156.81,8,0.08,Hardware,EMEA,2024-01-01 02:32:00
TRX-000153,CUST-4763,94.26,4,0.18,Cloud Services,EMEA,2024-01-01 02:33:00
TRX-000154,CUST-6232,24.2,5,0.14,Cloud Services,LATAM,2024-01-01 02:34:00
TRX-000155,CUST-2853,31.78,5,0.16,Consulting,EMEA,2024-01-01 02:35:00
TRX-000156,CUST-7585,288.62,1,0.09,Hardware,Americas,2024-01-01 02:36:00
TRX-000157,CUST-2291,40.96,4,0.19,Cloud Services,LATAM,2024-01-01 02:37:00
TRX-000158,CUST-4581,16.17,7,0.27,Cloud Services,LATAM,2024-01-01 02:38:00
TRX-000159,CUST-8554,167.77,4,0.05,Hardware,Americas,2024-01-01 02:39:00
TRX-000160,CUST-8280,148.25,2,0.01,Software,APAC,2024-01-01 02:40:00
TRX-000161,CUST-2636,119.98,5,0.26,Cloud Services,APAC,2024-01-01 02:41:00
TRX-000162,CUST-4696,93.72,7,0.24,Consulting,EMEA,2024-01-01 02:42:00
TRX-000163,CUST-1698,429.12,4,0.07,Consulting,EMEA,2024-01-01 02:43:00
TRX-000164,CUST-5737,25.32,6,0.25,Cloud Services,Americas,2024-01-01 02:44:00
TRX-000165,CUST-1854,95.64,4,0.2,Hardware,Americas,2024-01-01 02:45:00
TRX-000166,CUST-9164,109.63,3,0.24,Cloud Services,LATAM,2024-01-01 02:46:00
TRX-000167,CUST-6855,12.73,1,0.27,Hardware,Americas,2024-01-01 02:47:00
TRX-000168,CUST-8392,73.72,8,0.11,Cloud Services,EMEA,2024-01-01 02:48:00
TRX-000169,CUST-7528,193.23,6,0.24,Consulting,LATAM,2024-01-01 02:49:00
TRX-000170,CUST-6249,86.43,3,0.21,Hardware,APAC,2024-01-01 02:50:00
TRX-000171,CUST-6172,259.8,1,0.17,Hardware,APAC,2024-01-01 02:51:00
TRX-000172,CUST-2707,134.21,4,0.28,Software,LATAM,2024-01-01 02:52:00
TRX-000173,CUST-6791,184.34,4,0.2,Cloud Services,EMEA,2024-01-01 02:53:00
TRX-000174,CUST-6535,205.85,8,0.18,Hardware,EMEA,2024-01-01 02:54:00
TRX-000175,CUST-5931,150.35,6,0.17,Cloud Services,APAC,2024-01-01 02:55:00
TRX-000176,CUST-4510,176.06,3,0.18,Consulting,Americas,2024-01-01 02:56:00
TRX-000177,CUST-1202,152.62,5,0.27,Consulting,Americas,2024-01-01 02:57:00
TRX-000178,CUST-5218,105.94,6,0.09,Consulting,LATAM,2024-01-01 02:58:00
TRX-000179,CUST-9958,110.31,5,0.21,Software,LATAM,2024-01-01 02:59:00
TRX-000180,CUST-5389,35.27,2,0.06,Consulting,APAC,2024-01-01 03:00:00
TRX-000181,CUST-3327,220.84,6,0.08,Hardware,Americas,2024-01-01 03:01:00
TRX-000182,CUST-9004,54.9,8,0.2,Cloud Services,LATAM,2024-01-01 03:02:00
TRX-000183,CUST-3931,102.08,8,0.16,Software,Americas,2024-01-01 03:03:00
TRX-000184,CUST-8777,44.45,6,0.27,Hardware,LATAM,2024-01-01 03:04:00
TRX-000185,CUST-1197,152.83,3,0.2,Cloud Services,Americas,2024-01-01 03:05:00
TRX-000186,CUST-8125,453.48,8,0.12,Software,APAC,2024-01-01 03:06:00
TRX-000187,CUST-2930,204.3,1,0.04,Cloud Services,Americas,2024-01-01 03:07:00
TRX-000188,CUST-7287,125.82,7,0.03,Hardware,LATAM,2024-01-01 03:08:00
TRX-000189,CUST-9800,110.58,8,0.15,Software,EMEA,2024-01-01 03:09:00
TRX-000190,CUST-5282,90.75,5,0.17,Software,EMEA,2024-01-01 03:10:00
TRX-000191,CUST-3511,37.53,4,0.14,Consulting,APAC,2024-01-01 03:11:00
TRX-000192,CUST-1659,61.33,5,0.13,Hardware,Americas,2024-01-01 03:12:00
TRX-000193,CUST-3811,72.58,1,0.16,Consulting,LATAM,2024-01-01 03:13:00
TRX-000194,CUST-8098,357.11,6,0.12,Consulting,APAC,2024-01-01 03:14:00
TRX-000195,CUST-7546,76.53,5,0.02,Cloud Services,EMEA,2024-01-01 03:15:00
TRX-000196,CUST-2986,115.88,5,0.04,Hardware,Americas,2024-01-01 03:16:00
TRX-000197,CUST-9338,316.78,5,0.03,Software,EMEA,2024-01-01 03:17:00
TRX-000198,CUST-3911,97.68,9,0.1,Hardware,LATAM,2024-01-01 03:18:00
TRX-000199,CUST-2734,44.75,9,0.02,Hardware,Americas,2024-01-01 03:19:00
