InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536017,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2023-02-12 18:27:00,2.08,13905,France
536017,22423,REGENCY CAKESTAND 3 TIER,5,2023-07-14 13:13:00,12.75,17149,United Kingdom
536017,21212,PACK OF 72 RETROSPOT CAKE CASES,5,2023-08-04 12:53:00,0.55,12712,United Kingdom
536017,23203,JUMBO BAG DOILEY PATTERNS,9,2023-01-27 13:14:00,2.08,17543,United Kingdom
536017,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2023-01-16 11:12:00,2.08,12204,United Kingdom
536018,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-08-31 18:07:00,1.69,15113,Switzerland
536018,23203,JUMBO BAG DOILEY PATTERNS,5,2023-07-08 10:38:00,2.08,13332,Germany
536018,47566,PARTY BUNTING,5,2023-02-25 17:01:00,4.95,13763,United Kingdom
536018,21212,PACK OF 72 RETROSPOT CAKE CASES,7,2023-04-12 09:37:00,0.55,14278,United Kingdom
536018,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2023-11-04 09:50:00,4.95,15113,United Kingdom
536019,20725,LUNCH BAG RED RETROSPOT,9,2023-08-08 18:23:00,1.65,17543,United Kingdom
536019,20725,LUNCH BAG RED RETROSPOT,1,2023-08-04 15:06:00,1.65,12645,Switzerland
536019,23203,JUMBO BAG DOILEY PATTERNS,3,2023-08-11 10:46:00,2.08,17417,Spain
536019,21931,JUMBO STORAGE BAG SUKI,9,2023-09-05 15:27:00,2.08,17207,United Kingdom
536019,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-05-23 15:15:00,1.69,17066,United Kingdom
536020,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2023-06-22 08:31:00,2.08,12837,United Kingdom
536020,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2023-05-13 13:17:00,1.69,14988,United Kingdom
536020,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2023-01-06 16:12:00,4.95,12712,United Kingdom
536020,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2023-10-12 11:44:00,0.55,14962,United Kingdom
536020,22383,LUNCH BAG SUKI DESIGN,8,2023-01-09 09:18:00,1.65,13805,United Kingdom
536021,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2023-12-06 17:23:00,1.69,14962,United Kingdom
536021,20725,LUNCH BAG RED RETROSPOT,7,2023-10-09 13:22:00,1.65,17149,United Kingdom
536021,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-03-03 11:20:00,4.95,12767,United Kingdom
536021,23203,JUMBO BAG DOILEY PATTERNS,3,2023-04-09 11:47:00,2.08,16729,United Kingdom
536021,21931,JUMBO STORAGE BAG SUKI,9,2023-11-02 12:06:00,2.08,17323,United Kingdom
536022,20725,LUNCH BAG RED RETROSPOT,3,2023-06-04 08:45:00,1.65,14370,United Kingdom
536022,22423,REGENCY CAKESTAND 3 TIER,1,2023-10-11 12:44:00,12.75,13791,United Kingdom
536022,22383,LUNCH BAG SUKI DESIGN,2,2023-01-07 17:18:00,1.65,14962,United Kingdom
536022,20725,LUNCH BAG RED RETROSPOT,3,2023-01-27 12:55:00,1.65,16729,United Kingdom
536022,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2023-09-09 09:36:00,2.95,13143,United Kingdom
536023,21931,JUMBO STORAGE BAG SUKI,5,2023-02-13 11:07:00,2.08,12827,United Kingdom
536023,21931,JUMBO STORAGE BAG SUKI,10,2023-11-13 11:49:00,2.08,17417,United Kingdom
536023,22383,LUNCH BAG SUKI DESIGN,5,2023-10-29 14:19:00,1.65,15113,United Kingdom
536023,21931,JUMBO STORAGE BAG SUKI,12,2023-02-20 11:40:00,2.08,15436,United Kingdom
536023,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-05-03 10:35:00,2.95,16467,United Kingdom
536024,21212,PACK OF 72 RETROSPOT CAKE CASES,8,2023-12-19 17:30:00,0.55,14276,United Kingdom
536024,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-05-25 15:04:00,4.95,15679,EIRE
536024,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2023-10-06 11:41:00,0.55,16931,France
536024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-03-26 12:38:00,2.95,15113,Switzerland
536024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-12-19 12:44:00,2.95,15763,Australia
536025,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2023-08-13 09:38:00,2.95,13828,Netherlands
536025,21931,JUMBO STORAGE BAG SUKI,5,2023-01-14 09:14:00,2.08,14277,United Kingdom
536025,22423,REGENCY CAKESTAND 3 TIER,11,2023-05-18 17:02:00,12.75,13628,United Kingdom
536025,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,8,2023-05-23 10:37:00,2.08,12645,United Kingdom
536025,22383,LUNCH BAG SUKI DESIGN,2,2023-08-29 13:26:00,1.65,12759,United Kingdom
536026,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-06-18 14:44:00,2.95,17771,United Kingdom
536026,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2023-01-19 15:05:00,0.55,14757,United Kingdom
536026,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,2023-09-21 08:42:00,2.95,12653,United Kingdom
536026,22423,REGENCY CAKESTAND 3 TIER,4,2023-09-23 13:39:00,12.75,17771,United Kingdom
536026,22423,REGENCY CAKESTAND 3 TIER,4,2023-05-17 16:08:00,12.75,14787,United Kingdom
536027,23203,JUMBO BAG DOILEY PATTERNS,8,2023-03-04 08:40:00,2.08,13332,United Kingdom
536027,23203,JUMBO BAG DOILEY PATTERNS,3,2023-06-09 16:00:00,2.08,13907,United Kingdom
536027,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2023-08-25 09:41:00,1.69,16931,United Kingdom
536027,23203,JUMBO BAG DOILEY PATTERNS,5,2023-09-18 12:26:00,2.08,16729,EIRE
536027,22383,LUNCH BAG SUKI DESIGN,9,2023-03-16 14:12:00,1.65,14988,United Kingdom
536028,47566,PARTY BUNTING,2,2023-05-22 14:21:00,4.95,12569,United Kingdom
536028,22423,REGENCY CAKESTAND 3 TIER,5,2023-06-02 17:37:00,12.75,13575,Switzerland
536028,22086,PAPER CHAIN KIT 50'S CHRISTMAS,8,2023-06-26 13:35:00,2.95,12653,United Kingdom
536028,20725,LUNCH BAG RED RETROSPOT,4,2023-12-24 11:36:00,1.65,12355,United Kingdom
536028,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2023-06-12 15:45:00,0.55,14166,United Kingdom
536029,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,11,2023-03-19 15:02:00,2.08,13791,United Kingdom
536029,21931,JUMBO STORAGE BAG SUKI,6,2023-02-21 15:06:00,2.08,13866,United Kingdom
536029,23203,JUMBO BAG DOILEY PATTERNS,3,2023-07-29 18:09:00,2.08,16467,United Kingdom
536029,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-11-16 14:41:00,4.95,12712,Australia
536029,21212,PACK OF 72 RETROSPOT CAKE CASES,6,2023-11-17 15:55:00,0.55,12653,United Kingdom
536030,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-11-20 18:58:00,2.95,14787,Germany
536030,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2023-11-21 09:28:00,0.55,16597,United Kingdom
536030,22423,REGENCY CAKESTAND 3 TIER,1,2023-06-16 08:18:00,12.75,14940,United Kingdom
536030,47566,PARTY BUNTING,4,2023-09-29 14:36:00,4.95,17865,United Kingdom
536030,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2023-07-15 17:43:00,2.95,16827,United Kingdom
536031,21931,JUMBO STORAGE BAG SUKI,3,2023-04-29 15:40:00,2.08,12053,United Kingdom
536031,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,1,2023-08-27 12:43:00,2.08,12653,United Kingdom
536031,22383,LUNCH BAG SUKI DESIGN,6,2023-10-28 12:40:00,1.65,15100,United Kingdom
536031,22383,LUNCH BAG SUKI DESIGN,5,2023-04-12 14:54:00,1.65,16729,United Kingdom
536031,21212,PACK OF 72 RETROSPOT CAKE CASES,10,2023-07-03 17:18:00,0.55,14276,United Kingdom
536032,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2023-05-21 08:36:00,2.08,13143,Switzerland
536032,22720,SET OF 3 CAKE TINS PANTRY DESIGN,4,2023-11-07 13:14:00,4.95,17323,United Kingdom
536032,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-12-04 18:53:00,2.08,13905,United Kingdom
536032,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,11,2023-01-21 12:50:00,2.08,16522,United Kingdom
536032,20725,LUNCH BAG RED RETROSPOT,12,2023-03-09 09:58:00,1.65,14276,United Kingdom
536033,21212,PACK OF 72 RETROSPOT CAKE CASES,3,2023-04-13 10:50:00,0.55,12653,Netherlands
536033,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2023-05-20 10:16:00,2.95,16729,Spain
536033,23203,JUMBO BAG DOILEY PATTERNS,6,2023-02-28 15:04:00,2.08,16139,United Kingdom
536033,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2023-12-12 14:54:00,1.69,12827,United Kingdom
536033,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2023-05-16 16:07:00,0.55,17149,United Kingdom
536034,23203,JUMBO BAG DOILEY PATTERNS,11,2023-05-15 17:24:00,2.08,16945,United Kingdom
536034,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2023-01-13 17:56:00,1.69,12827,United Kingdom
536034,21931,JUMBO STORAGE BAG SUKI,4,2023-11-28 09:40:00,2.08,17066,Spain
536034,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2023-03-01 10:02:00,2.08,14006,United Kingdom
536034,22383,LUNCH BAG SUKI DESIGN,2,2023-02-19 11:56:00,1.65,14370,United Kingdom
536035,22383,LUNCH BAG SUKI DESIGN,6,2023-12-10 16:26:00,1.65,17207,United Kingdom
536035,47566,PARTY BUNTING,7,2023-12-02 09:53:00,4.95,13575,United Kingdom
536035,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-12-20 13:13:00,4.95,16522,United Kingdom
536035,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2023-02-20 18:23:00,1.69,12653,Netherlands
536035,22423,REGENCY CAKESTAND 3 TIER,7,2023-05-22 11:07:00,12.75,17149,United Kingdom
536036,84879,ASSORTED COLOUR BIRD ORNAMENT,11,2023-11-24 17:01:00,1.69,13143,United Kingdom
536036,84879,ASSORTED COLOUR BIRD ORNAMENT,3,2023-10-17 11:04:00,1.69,13907,United Kingdom
536036,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2023-06-18 10:50:00,1.69,14988,United Kingdom
536036,47566,PARTY BUNTING,3,2023-10-04 12:51:00,4.95,13628,United Kingdom
536036,22423,REGENCY CAKESTAND 3 TIER,3,2023-01-08 13:50:00,12.75,16827,United Kingdom
536037,22423,REGENCY CAKESTAND 3 TIER,3,2023-05-16 08:08:00,12.75,13022,United Kingdom
536037,23203,JUMBO BAG DOILEY PATTERNS,2,2023-09-01 15:49:00,2.08,14817,United Kingdom
536037,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-09-15 11:39:00,2.95,13828,United Kingdom
536037,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,9,2023-06-04 15:41:00,2.08,14253,United Kingdom
536037,22383,LUNCH BAG SUKI DESIGN,7,2023-08-07 18:06:00,1.65,13575,United Kingdom
536038,22383,LUNCH BAG SUKI DESIGN,2,2023-02-11 13:38:00,1.65,16139,United Kingdom
536038,22720,SET OF 3 CAKE TINS PANTRY DESIGN,10,2023-11-21 17:35:00,4.95,12837,United Kingdom
536038,21931,JUMBO STORAGE BAG SUKI,9,2023-05-31 15:32:00,2.08,13332,United Kingdom
536038,23203,JUMBO BAG DOILEY PATTERNS,2,2023-12-02 18:56:00,2.08,13907,United Kingdom
536038,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2023-08-20 11:26:00,1.69,15112,Belgium
536039,21212,PACK OF 72 RETROSPOT CAKE CASES,12,2023-02-18 13:27:00,0.55,14757,United Kingdom
536039,20725,LUNCH BAG RED RETROSPOT,3,2023-12-18 15:04:00,1.65,16837,Germany
536039,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2023-07-10 10:35:00,0.55,12839,United Kingdom
536039,22086,PAPER CHAIN KIT 50'S CHRISTMAS,9,2023-06-18 18:07:00,2.95,16392,United Kingdom
536039,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2023-01-27 12:38:00,2.08,13763,United Kingdom
536040,21931,JUMBO STORAGE BAG SUKI,9,2023-04-19 10:42:00,2.08,16729,United Kingdom
536040,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-10-12 13:07:00,2.95,15462,United Kingdom
536040,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2023-11-15 17:43:00,0.55,12827,United Kingdom
536040,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-05-17 08:11:00,2.08,17719,United Kingdom
536040,22720,SET OF 3 CAKE TINS PANTRY DESIGN,6,2023-06-29 08:11:00,4.95,16139,United Kingdom
536041,21212,PACK OF 72 RETROSPOT CAKE CASES,2,2023-03-14 18:01:00,0.55,16837,United Kingdom
536041,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2023-08-03 15:21:00,1.69,12217,United Kingdom
536041,23203,JUMBO BAG DOILEY PATTERNS,6,2023-10-18 17:05:00,2.08,13143,United Kingdom
536041,21931,JUMBO STORAGE BAG SUKI,1,2023-12-12 09:17:00,2.08,16522,United Kingdom
536041,22383,LUNCH BAG SUKI DESIGN,10,2023-08-15 14:17:00,1.65,15436,United Kingdom
536042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-08-09 09:18:00,2.95,17207,United Kingdom
536042,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,5,2023-01-24 11:25:00,2.08,14988,United Kingdom
536042,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2023-04-19 10:48:00,1.69,12053,United Kingdom
536042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2023-09-12 14:11:00,2.95,13791,United Kingdom
536042,23203,JUMBO BAG DOILEY PATTERNS,4,2023-09-14 16:53:00,2.08,14940,United Kingdom
536043,23203,JUMBO BAG DOILEY PATTERNS,1,2023-08-12 08:29:00,2.08,16467,Belgium
536043,21931,JUMBO STORAGE BAG SUKI,7,2023-11-24 14:18:00,2.08,12244,United Kingdom
536043,20725,LUNCH BAG RED RETROSPOT,3,2023-11-13 15:53:00,1.65,14817,United Kingdom
536043,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2023-08-12 17:25:00,2.95,13866,United Kingdom
536043,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2023-06-23 11:21:00,4.95,16597,United Kingdom
536044,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,2,2023-09-29 16:12:00,2.08,12792,United Kingdom
536044,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,3,2023-05-01 09:09:00,2.08,12053,United Kingdom
536044,21931,JUMBO STORAGE BAG SUKI,3,2023-12-02 09:11:00,2.08,17771,United Kingdom
536044,21931,JUMBO STORAGE BAG SUKI,10,2023-08-18 18:59:00,2.08,15113,United Kingdom
536044,21931,JUMBO STORAGE BAG SUKI,6,2023-11-18 13:09:00,2.08,16522,United Kingdom
536045,22383,LUNCH BAG SUKI DESIGN,11,2023-06-05 12:37:00,1.65,12839,United Kingdom
536045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2023-08-25 15:02:00,2.95,12839,United Kingdom
536045,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2023-11-27 09:39:00,4.95,14988,United Kingdom
536045,22383,LUNCH BAG SUKI DESIGN,10,2023-10-11 08:28:00,1.65,14277,United Kingdom
536045,20725,LUNCH BAG RED RETROSPOT,10,2023-09-01 16:09:00,1.65,12839,United Kingdom
536046,20725,LUNCH BAG RED RETROSPOT,12,2023-02-13 16:41:00,1.65,13628,United Kingdom
536046,23203,JUMBO BAG DOILEY PATTERNS,8,2023-08-13 16:33:00,2.08,15032,United Kingdom
536046,20725,LUNCH BAG RED RETROSPOT,5,2023-07-18 14:49:00,1.65,15112,United Kingdom
536046,22423,REGENCY CAKESTAND 3 TIER,11,2023-11-28 13:04:00,12.75,12759,United Kingdom
536046,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,7,2023-05-26 12:46:00,2.08,13332,Netherlands
536047,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2023-12-06 10:58:00,2.95,12792,United Kingdom
536047,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,12,2023-12-06 14:08:00,2.08,14988,United Kingdom
536047,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,2023-10-14 14:41:00,2.95,12759,Australia
536047,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2023-12-10 14:32:00,2.95,14817,United Kingdom
536047,22720,SET OF 3 CAKE TINS PANTRY DESIGN,3,2023-04-20 13:49:00,4.95,13575,United Kingdom
536048,47566,PARTY BUNTING,3,2023-02-09 12:54:00,4.95,15456,United Kingdom
536048,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2023-09-27 08:42:00,2.95,15112,France
536048,21931,JUMBO STORAGE BAG SUKI,7,2023-03-20 10:11:00,2.08,14910,France
536048,23203,JUMBO BAG DOILEY PATTERNS,8,2023-01-23 14:23:00,2.08,16827,Spain
536048,23203,JUMBO BAG DOILEY PATTERNS,8,2023-04-30 16:15:00,2.08,13763,Switzerland
536049,84879,ASSORTED COLOUR BIRD ORNAMENT,6,2023-12-14 17:28:00,1.69,17066,United Kingdom
536049,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2023-09-28 14:10:00,0.55,17745,France
536049,22720,SET OF 3 CAKE TINS PANTRY DESIGN,1,2023-11-25 15:55:00,4.95,16945,United Kingdom
536049,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2023-09-22 09:18:00,2.95,12712,United Kingdom
536049,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,2023-09-20 10:53:00,4.95,12645,United Kingdom
536050,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2023-06-28 08:26:00,1.69,13143,United Kingdom
