invoice_no,customer_id,description,quantity,unit_price,total_amount,invoice_date,country
INV-1025,CUST-0046,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-04-30 10:00:00,Japan
INV-1026,CUST-0035,Vertical Ergonomic Mouse,4,45.0,180.0,2025-01-29 20:00:00,Japan
INV-1027,CUST-0046,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-04-01 11:00:00,Germany
INV-1027,CUST-0046,Vertical Ergonomic Mouse,1,45.0,45.0,2025-04-01 11:00:00,Germany
INV-1027,CUST-0046,Smart LED Desk Lamp,3,29.95,89.85,2025-04-01 11:00:00,Germany
INV-1028,CUST-0073,USB-C Multiport Hub,5,39.99,199.95,2025-03-14 17:00:00,Japan
INV-1029,CUST-0040,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-09-09 08:00:00,Germany
INV-1030,CUST-0078,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-01-11 16:00:00,Germany
INV-1030,CUST-0078,Vertical Ergonomic Mouse,2,45.0,90.0,2025-01-11 16:00:00,Germany
INV-1031,CUST-0017,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-04-01 20:00:00,France
INV-1031,CUST-0017,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-04-01 20:00:00,France
INV-1032,CUST-0019,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-09-27 13:00:00,United Kingdom
INV-1033,CUST-0076,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-06-22 12:00:00,United Kingdom
INV-1033,CUST-0076,Smart LED Desk Lamp,4,29.95,119.8,2025-06-22 12:00:00,United Kingdom
INV-1034,CUST-0063,Vertical Ergonomic Mouse,5,45.0,225.0,2025-06-12 10:00:00,Australia
INV-1034,CUST-0063,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-06-12 10:00:00,Australia
INV-1034,CUST-0063,Smart LED Desk Lamp,5,29.95,149.75,2025-06-12 10:00:00,Australia
INV-1035,CUST-0023,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-06-07 19:00:00,United States
INV-1035,CUST-0023,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-06-07 19:00:00,United States
INV-1035,CUST-0023,Smart LED Desk Lamp,5,29.95,149.75,2025-06-07 19:00:00,United States
INV-1036,CUST-0051,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-01-17 10:00:00,Japan
INV-1036,CUST-0051,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-01-17 10:00:00,Japan
INV-1036,CUST-0051,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-01-17 10:00:00,Japan
INV-1037,CUST-0019,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-02-09 11:00:00,France
INV-1037,CUST-0019,Smart LED Desk Lamp,1,29.95,29.95,2025-02-09 11:00:00,France
INV-1038,CUST-0043,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-01-06 12:00:00,United States
INV-1039,CUST-0045,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-02-25 19:00:00,France
INV-1040,CUST-0057,USB-C Multiport Hub,4,39.99,159.96,2025-08-03 10:00:00,Australia
INV-1040,CUST-0057,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-08-03 10:00:00,Australia
INV-1041,CUST-0049,Smart LED Desk Lamp,2,29.95,59.9,2025-09-03 20:00:00,United Kingdom
INV-1041,CUST-0049,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-09-03 20:00:00,United Kingdom
INV-1041,CUST-0049,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-09-03 20:00:00,United Kingdom
INV-1042,CUST-0038,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-06-13 12:00:00,United Kingdom
INV-1043,CUST-0022,Vertical Ergonomic Mouse,1,45.0,45.0,2025-03-24 19:00:00,United States
INV-1044,CUST-0044,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-11-11 15:00:00,Japan
INV-1044,CUST-0044,Smart LED Desk Lamp,2,29.95,59.9,2025-11-11 15:00:00,Japan
INV-1044,CUST-0044,Vertical Ergonomic Mouse,4,45.0,180.0,2025-11-11 15:00:00,Japan
INV-1045,CUST-0021,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-02-21 13:00:00,United Kingdom
INV-1046,CUST-0071,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-10-04 12:00:00,Australia
INV-1046,CUST-0071,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-10-04 12:00:00,Australia
INV-1046,CUST-0071,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-10-04 12:00:00,Australia
INV-1047,CUST-0074,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-09-09 10:00:00,Japan
INV-1048,CUST-0055,Vertical Ergonomic Mouse,4,45.0,180.0,2025-05-31 18:00:00,United Kingdom
INV-1048,CUST-0055,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-05-31 18:00:00,United Kingdom
INV-1048,CUST-0055,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-05-31 18:00:00,United Kingdom
INV-1049,CUST-0022,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-05-30 09:00:00,Australia
INV-1049,CUST-0022,USB-C Multiport Hub,4,39.99,159.96,2025-05-30 09:00:00,Australia
INV-1050,CUST-0063,Vertical Ergonomic Mouse,4,45.0,180.0,2025-05-16 09:00:00,Australia
INV-1050,CUST-0063,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-05-16 09:00:00,Australia
INV-1050,CUST-0063,USB-C Multiport Hub,3,39.99,119.97,2025-05-16 09:00:00,Australia
INV-1051,CUST-0024,USB-C Multiport Hub,3,39.99,119.97,2025-01-23 12:00:00,United States
INV-1051,CUST-0024,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-01-23 12:00:00,United States
INV-1052,CUST-0073,Smart LED Desk Lamp,1,29.95,29.95,2025-03-19 20:00:00,United Kingdom
INV-1052,CUST-0073,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-03-19 20:00:00,United Kingdom
INV-1052,CUST-0073,Vertical Ergonomic Mouse,4,45.0,180.0,2025-03-19 20:00:00,United Kingdom
INV-1053,CUST-0076,Vertical Ergonomic Mouse,4,45.0,180.0,2025-10-11 08:00:00,Germany
INV-1053,CUST-0076,Vertical Ergonomic Mouse,4,45.0,180.0,2025-10-11 08:00:00,Germany
INV-1054,CUST-0074,USB-C Multiport Hub,1,39.99,39.99,2025-09-01 12:00:00,Germany
INV-1055,CUST-0065,Smart LED Desk Lamp,5,29.95,149.75,2025-09-22 20:00:00,Japan
INV-1055,CUST-0065,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-09-22 20:00:00,Japan
INV-1055,CUST-0065,USB-C Multiport Hub,2,39.99,79.98,2025-09-22 20:00:00,Japan
INV-1056,CUST-0022,USB-C Multiport Hub,1,39.99,39.99,2025-04-09 10:00:00,Germany
INV-1057,CUST-0056,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-11-18 10:00:00,Germany
INV-1057,CUST-0056,Smart LED Desk Lamp,1,29.95,29.95,2025-11-18 10:00:00,Germany
INV-1057,CUST-0056,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-11-18 10:00:00,Germany
INV-1058,CUST-0072,Vertical Ergonomic Mouse,4,45.0,180.0,2025-10-10 13:00:00,United States
INV-1058,CUST-0072,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-10-10 13:00:00,United States
INV-1059,CUST-0076,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-08-03 09:00:00,Japan
INV-1059,CUST-0076,Vertical Ergonomic Mouse,5,45.0,225.0,2025-08-03 09:00:00,Japan
INV-1060,CUST-0075,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-02-24 17:00:00,United Kingdom
INV-1061,CUST-0045,USB-C Multiport Hub,5,39.99,199.95,2025-05-16 14:00:00,United States
INV-1061,CUST-0045,Vertical Ergonomic Mouse,4,45.0,180.0,2025-05-16 14:00:00,United States
INV-1061,CUST-0045,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-05-16 14:00:00,United States
INV-1062,CUST-0036,Smart LED Desk Lamp,4,29.95,119.8,2025-03-15 17:00:00,United States
INV-1062,CUST-0036,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-03-15 17:00:00,United States
INV-1062,CUST-0036,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-03-15 17:00:00,United States
INV-1063,CUST-0007,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-09-01 12:00:00,Australia
INV-1063,CUST-0007,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-09-01 12:00:00,Australia
INV-1064,CUST-0036,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-12-23 18:00:00,United States
INV-1065,CUST-0039,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-08-15 20:00:00,Australia
INV-1065,CUST-0039,Vertical Ergonomic Mouse,1,45.0,45.0,2025-08-15 20:00:00,Australia
INV-1066,CUST-0025,USB-C Multiport Hub,5,39.99,199.95,2025-04-19 14:00:00,United States
INV-1066,CUST-0025,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-04-19 14:00:00,United States
INV-1066,CUST-0025,Vertical Ergonomic Mouse,2,45.0,90.0,2025-04-19 14:00:00,United States
INV-1067,CUST-0009,Vertical Ergonomic Mouse,5,45.0,225.0,2025-09-17 14:00:00,France
INV-1068,CUST-0004,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-04-09 11:00:00,Germany
INV-1069,CUST-0059,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-07-04 19:00:00,United Kingdom
INV-1070,CUST-0060,Smart LED Desk Lamp,1,29.95,29.95,2025-07-23 18:00:00,Japan
INV-1071,CUST-0031,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-09-08 17:00:00,France
INV-1071,CUST-0031,Vertical Ergonomic Mouse,5,45.0,225.0,2025-09-08 17:00:00,France
INV-1072,CUST-0045,Smart LED Desk Lamp,1,29.95,29.95,2025-03-25 12:00:00,France
INV-1072,CUST-0045,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-03-25 12:00:00,France
INV-1072,CUST-0045,USB-C Multiport Hub,1,39.99,39.99,2025-03-25 12:00:00,France
INV-1073,CUST-0021,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-04-20 11:00:00,Japan
INV-1073,CUST-0021,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-04-20 11:00:00,Japan
INV-1073,CUST-0021,Vertical Ergonomic Mouse,1,45.0,45.0,2025-04-20 11:00:00,Japan
INV-1074,CUST-0002,Vertical Ergonomic Mouse,1,45.0,45.0,2025-03-09 18:00:00,United States
INV-1075,CUST-0029,Smart LED Desk Lamp,3,29.95,89.85,2025-11-08 20:00:00,France
INV-1075,CUST-0029,USB-C Multiport Hub,4,39.99,159.96,2025-11-08 20:00:00,France
INV-1076,CUST-0045,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-05-10 11:00:00,United States
INV-1076,CUST-0045,Vertical Ergonomic Mouse,4,45.0,180.0,2025-05-10 11:00:00,United States
INV-1077,CUST-0075,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-01-04 16:00:00,United Kingdom
INV-1077,CUST-0075,Smart LED Desk Lamp,5,29.95,149.75,2025-01-04 16:00:00,United Kingdom
INV-1077,CUST-0075,Vertical Ergonomic Mouse,3,45.0,135.0,2025-01-04 16:00:00,United Kingdom
INV-1078,CUST-0039,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-02-25 15:00:00,Australia
INV-1079,CUST-0042,Smart LED Desk Lamp,3,29.95,89.85,2025-05-14 18:00:00,France
INV-1079,CUST-0042,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-05-14 18:00:00,France
INV-1079,CUST-0042,Vertical Ergonomic Mouse,2,45.0,90.0,2025-05-14 18:00:00,France
INV-1080,CUST-0008,Smart LED Desk Lamp,2,29.95,59.9,2025-07-26 18:00:00,Japan
INV-1080,CUST-0008,Smart LED Desk Lamp,1,29.95,29.95,2025-07-26 18:00:00,Japan
INV-1081,CUST-0064,USB-C Multiport Hub,1,39.99,39.99,2025-05-13 14:00:00,France
INV-1081,CUST-0064,Vertical Ergonomic Mouse,5,45.0,225.0,2025-05-13 14:00:00,France
INV-1082,CUST-0025,Smart LED Desk Lamp,4,29.95,119.8,2025-04-24 18:00:00,France
INV-1082,CUST-0025,Smart LED Desk Lamp,3,29.95,89.85,2025-04-24 18:00:00,France
INV-1082,CUST-0025,Vertical Ergonomic Mouse,3,45.0,135.0,2025-04-24 18:00:00,France
INV-1083,CUST-0022,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-10-13 10:00:00,Australia
INV-1083,CUST-0022,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-10-13 10:00:00,Australia
INV-1084,CUST-0072,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-12-15 13:00:00,Germany
INV-1084,CUST-0072,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-12-15 13:00:00,Germany
INV-1084,CUST-0072,Smart LED Desk Lamp,3,29.95,89.85,2025-12-15 13:00:00,Germany
INV-1085,CUST-0054,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-07-10 12:00:00,France
INV-1085,CUST-0054,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-07-10 12:00:00,France
INV-1085,CUST-0054,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-07-10 12:00:00,France
INV-1086,CUST-0075,Vertical Ergonomic Mouse,1,45.0,45.0,2025-02-06 15:00:00,Japan
INV-1087,CUST-0049,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-06-02 14:00:00,Japan
INV-1088,CUST-0026,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-07-29 17:00:00,France
INV-1088,CUST-0026,Smart LED Desk Lamp,2,29.95,59.9,2025-07-29 17:00:00,France
INV-1089,CUST-0011,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-06-20 18:00:00,United States
INV-1090,CUST-0001,Vertical Ergonomic Mouse,2,45.0,90.0,2025-05-21 11:00:00,United States
INV-1091,CUST-0063,Smart LED Desk Lamp,4,29.95,119.8,2025-03-08 17:00:00,United Kingdom
INV-1091,CUST-0063,USB-C Multiport Hub,4,39.99,159.96,2025-03-08 17:00:00,United Kingdom
INV-1092,CUST-0062,Ergonomic Mechanical Keyboard,3,89.5,268.5,2025-01-03 08:00:00,United States
INV-1092,CUST-0062,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-01-03 08:00:00,United States
INV-1092,CUST-0062,Vertical Ergonomic Mouse,2,45.0,90.0,2025-01-03 08:00:00,United States
INV-1093,CUST-0003,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-01-03 18:00:00,Australia
INV-1093,CUST-0003,Smart LED Desk Lamp,3,29.95,89.85,2025-01-03 18:00:00,Australia
INV-1093,CUST-0003,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-01-03 18:00:00,Australia
INV-1094,CUST-0014,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-09-15 17:00:00,United States
INV-1094,CUST-0014,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-09-15 17:00:00,United States
INV-1095,CUST-0038,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-09-24 17:00:00,United States
INV-1095,CUST-0038,Smart LED Desk Lamp,2,29.95,59.9,2025-09-24 17:00:00,United States
INV-1095,CUST-0038,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-09-24 17:00:00,United States
INV-1096,CUST-0046,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-03-26 20:00:00,Germany
INV-1096,CUST-0046,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-03-26 20:00:00,Germany
INV-1097,CUST-0028,Ergonomic Mechanical Keyboard,1,89.5,89.5,2025-01-12 17:00:00,Australia
INV-1097,CUST-0028,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-01-12 17:00:00,Australia
INV-1097,CUST-0028,USB-C Multiport Hub,3,39.99,119.97,2025-01-12 17:00:00,Australia
INV-1098,CUST-0069,Smart LED Desk Lamp,1,29.95,29.95,2025-01-25 17:00:00,Japan
INV-1099,CUST-0003,USB-C Multiport Hub,4,39.99,159.96,2025-12-20 09:00:00,United Kingdom
INV-1099,CUST-0003,Wireless Noise-Cancelling Headphones,5,149.99,749.95,2025-12-20 09:00:00,United Kingdom
INV-1100,CUST-0033,Smart LED Desk Lamp,1,29.95,29.95,2025-12-26 10:00:00,United States
INV-1101,CUST-0039,Vertical Ergonomic Mouse,3,45.0,135.0,2025-12-05 09:00:00,United States
INV-1101,CUST-0039,Vertical Ergonomic Mouse,5,45.0,225.0,2025-12-05 09:00:00,United States
INV-1101,CUST-0039,Smart LED Desk Lamp,2,29.95,59.9,2025-12-05 09:00:00,United States
INV-1102,CUST-0054,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-09-19 19:00:00,United Kingdom
INV-1102,CUST-0054,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-09-19 19:00:00,United Kingdom
INV-1102,CUST-0054,USB-C Multiport Hub,2,39.99,79.98,2025-09-19 19:00:00,United Kingdom
INV-1103,CUST-0078,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-05-15 16:00:00,Germany
INV-1104,CUST-0038,Ergonomic Mechanical Keyboard,4,89.5,358.0,2025-01-21 16:00:00,Germany
INV-1104,CUST-0038,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-01-21 16:00:00,Germany
INV-1105,CUST-0001,Vertical Ergonomic Mouse,4,45.0,180.0,2025-12-10 09:00:00,United Kingdom
INV-1106,CUST-0020,Smart LED Desk Lamp,1,29.95,29.95,2025-09-19 09:00:00,United Kingdom
INV-1106,CUST-0020,Ultra HD 27-inch Monitor,2,299.0,598.0,2025-09-19 09:00:00,United Kingdom
INV-1106,CUST-0020,USB-C Multiport Hub,3,39.99,119.97,2025-09-19 09:00:00,United Kingdom
INV-1107,CUST-0034,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-01-26 09:00:00,United States
INV-1108,CUST-0047,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-06-10 14:00:00,Australia
INV-1108,CUST-0047,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-06-10 14:00:00,Australia
INV-1108,CUST-0047,Ergonomic Mechanical Keyboard,2,89.5,179.0,2025-06-10 14:00:00,Australia
INV-1109,CUST-0043,Smart LED Desk Lamp,1,29.95,29.95,2025-08-13 17:00:00,France
INV-1109,CUST-0043,Ultra HD 27-inch Monitor,3,299.0,897.0,2025-08-13 17:00:00,France
INV-1110,CUST-0024,Ultra HD 27-inch Monitor,4,299.0,1196.0,2025-07-25 14:00:00,United Kingdom
INV-1110,CUST-0024,Smart LED Desk Lamp,4,29.95,119.8,2025-07-25 14:00:00,United Kingdom
INV-1111,CUST-0054,Smart LED Desk Lamp,1,29.95,29.95,2025-03-27 09:00:00,Australia
INV-1112,CUST-0021,Vertical Ergonomic Mouse,4,45.0,180.0,2025-08-02 17:00:00,United Kingdom
INV-1112,CUST-0021,Ergonomic Mechanical Keyboard,5,89.5,447.5,2025-08-02 17:00:00,United Kingdom
INV-1113,CUST-0049,Smart LED Desk Lamp,2,29.95,59.9,2025-11-10 08:00:00,France
INV-1113,CUST-0049,USB-C Multiport Hub,4,39.99,159.96,2025-11-10 08:00:00,France
INV-1113,CUST-0049,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-11-10 08:00:00,France
INV-1114,CUST-0057,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-02-02 12:00:00,United Kingdom
INV-1114,CUST-0057,Smart LED Desk Lamp,5,29.95,149.75,2025-02-02 12:00:00,United Kingdom
INV-1114,CUST-0057,Smart LED Desk Lamp,5,29.95,149.75,2025-02-02 12:00:00,United Kingdom
INV-1115,CUST-0073,Vertical Ergonomic Mouse,5,45.0,225.0,2025-12-09 13:00:00,Germany
INV-1115,CUST-0073,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-12-09 13:00:00,Germany
INV-1115,CUST-0073,Smart LED Desk Lamp,2,29.95,59.9,2025-12-09 13:00:00,Germany
INV-1116,CUST-0062,USB-C Multiport Hub,2,39.99,79.98,2025-12-06 18:00:00,France
INV-1116,CUST-0062,Vertical Ergonomic Mouse,5,45.0,225.0,2025-12-06 18:00:00,France
INV-1116,CUST-0062,Wireless Noise-Cancelling Headphones,1,149.99,149.99,2025-12-06 18:00:00,France
INV-1117,CUST-0021,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-08-29 15:00:00,Japan
INV-1118,CUST-0042,Vertical Ergonomic Mouse,2,45.0,90.0,2025-06-19 12:00:00,Germany
INV-1119,CUST-0071,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-07-13 14:00:00,Australia
INV-1120,CUST-0057,USB-C Multiport Hub,3,39.99,119.97,2025-08-18 09:00:00,Japan
INV-1120,CUST-0057,Wireless Noise-Cancelling Headphones,4,149.99,599.96,2025-08-18 09:00:00,Japan
INV-1121,CUST-0003,Vertical Ergonomic Mouse,5,45.0,225.0,2025-07-26 14:00:00,United Kingdom
INV-1122,CUST-0001,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-11-06 17:00:00,United Kingdom
INV-1122,CUST-0001,Vertical Ergonomic Mouse,2,45.0,90.0,2025-11-06 17:00:00,United Kingdom
INV-1122,CUST-0001,Smart LED Desk Lamp,4,29.95,119.8,2025-11-06 17:00:00,United Kingdom
INV-1123,CUST-0044,Ultra HD 27-inch Monitor,5,299.0,1495.0,2025-01-28 11:00:00,France
INV-1123,CUST-0044,Vertical Ergonomic Mouse,5,45.0,225.0,2025-01-28 11:00:00,France
INV-1124,CUST-0061,USB-C Multiport Hub,1,39.99,39.99,2025-12-03 13:00:00,Australia
INV-1124,CUST-0061,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-12-03 13:00:00,Australia
INV-1124,CUST-0061,Wireless Noise-Cancelling Headphones,3,149.99,449.97,2025-12-03 13:00:00,Australia
INV-1125,CUST-0046,Ultra HD 27-inch Monitor,1,299.0,299.0,2025-05-30 16:00:00,Australia
INV-1125,CUST-0046,Wireless Noise-Cancelling Headphones,2,149.99,299.98,2025-05-30 16:00:00,Australia
INV-1125,CUST-0046,USB-C Multiport Hub,2,39.99,79.98,2025-05-30 16:00:00,Australia
