sample_index,feature_a,feature_b,feature_c,ratio_d,cohort_group,target_score
88,42.93,46.45,1.89,7.271,Group Alpha,38.17
89,90.8,79.64,19.92,8.231,Group Beta,70.71
90,70.05,59.74,20.83,8.262,Group Beta,52.36
91,109.75,92.9,6.98,7.988,Group Gamma,84.81
92,116.57,96.42,29.32,4.861,Group Gamma,83.0
93,59.9,58.99,1.63,9.123,Group Alpha,49.77
94,95.67,81.86,5.79,9.06,Group Beta,73.23
95,53.89,49.77,45.12,6.161,Group Alpha,42.79
96,70.18,73.1,5.21,3.958,Group Beta,64.03
97,63.9,61.88,23.52,8.107,Group Alpha,50.18
98,49.85,42.9,0.89,5.946,Group Alpha,38.67
99,91.7,78.04,6.48,2.054,Group Beta,66.88
100,114.96,93.4,14.44,1.91,Group Gamma,87.92
101,112.94,92.17,1.13,8.397,Group Gamma,86.19
102,104.35,89.42,1.33,9.88,Group Gamma,78.02
103,62.62,49.93,25.13,9.525,Group Beta,48.15
104,41.38,39.97,22.52,6.026,Group Alpha,40.67
105,120.29,99.42,1.77,5.434,Group Gamma,91.03
106,49.78,45.89,0.87,2.069,Group Alpha,48.42
107,83.87,68.77,20.56,6.25,Group Beta,64.86
108,48.69,48.53,5.05,8.817,Group Alpha,47.16
109,112.69,94.58,1.15,5.985,Group Gamma,83.13
110,80.29,72.71,14.89,7.262,Group Beta,62.03
111,135.84,108.04,13.17,9.11,Group Gamma,98.85
112,106.28,85.67,4.87,2.693,Group Beta,77.92
113,24.51,25.75,13.14,1.7,Group Alpha,23.97
114,114.1,104.96,5.56,8.324,Group Gamma,84.71
115,69.22,64.37,36.27,8.403,Group Beta,55.92
116,94.16,89.78,40.49,8.795,Group Gamma,78.77
117,94.15,78.27,65.46,2.354,Group Beta,74.03
118,59.44,61.35,52.56,8.579,Group Beta,51.71
119,48.63,52.66,8.04,3.461,Group Alpha,40.9
120,50.06,47.78,21.98,9.503,Group Alpha,42.87
121,74.6,69.06,8.98,2.162,Group Beta,64.02
122,81.44,73.65,3.89,7.045,Group Beta,67.35
123,91.59,85.08,1.81,7.044,Group Gamma,72.91
124,128.61,107.04,11.01,8.67,Group Gamma,89.59
125,134.73,119.82,31.39,4.631,Group Gamma,102.81
126,87.74,82.65,18.26,2.917,Group Beta,70.45
127,62.7,48.23,7.47,4.937,Group Alpha,52.47
128,106.77,93.67,10.82,8.053,Group Gamma,80.42
129,129.54,100.25,29.75,9.546,Group Gamma,91.03
130,89.56,76.89,9.22,9.82,Group Gamma,66.33
131,25.19,28.45,15.05,3.161,Group Alpha,33.35
132,84.4,68.6,3.01,4.111,Group Beta,60.0
133,49.25,51.71,16.52,2.551,Group Alpha,48.35
134,103.64,83.77,2.92,1.798,Group Gamma,75.9
135,78.72,63.86,3.47,4.278,Group Beta,61.32
136,103.58,87.86,0.6,8.195,Group Beta,78.24
137,41.6,42.27,31.02,9.288,Group Alpha,36.05
138,108.65,90.38,24.61,7.734,Group Gamma,76.35
139,103.63,84.84,6.94,5.361,Group Gamma,77.65
140,61.82,63.2,9.31,7.727,Group Beta,49.83
141,116.92,99.25,10.75,5.789,Group Gamma,86.17
142,108.46,86.57,11.41,3.182,Group Gamma,75.33
143,70.92,56.08,0.3,3.899,Group Beta,51.95
144,72.24,58.77,1.91,9.015,Group Beta,52.22
145,70.25,67.1,23.35,5.486,Group Alpha,60.09
146,110.93,88.89,13.26,7.709,Group Gamma,83.75
147,67.55,59.71,5.01,4.268,Group Beta,53.21
148,121.11,110.38,6.6,9.879,Group Gamma,93.16
149,33.22,37.73,1.61,2.376,Group Alpha,31.78
150,42.19,39.21,3.1,3.566,Group Alpha,42.51
151,110.58,88.78,7.92,9.841,Group Gamma,83.96
152,47.13,40.81,52.34,8.79,Group Alpha,42.7
153,73.08,68.59,2.81,7.018,Group Beta,60.12
154,81.19,74.65,12.72,3.52,Group Beta,66.03
155,72.05,66.89,5.87,4.829,Group Beta,55.84
156,90.47,78.09,1.83,6.496,Group Gamma,73.39
157,87.66,67.44,2.51,5.33,Group Beta,66.0
158,102.18,86.87,6.16,2.21,Group Gamma,74.98
159,92.08,76.18,4.41,7.134,Group Beta,71.86
160,86.36,81.98,9.57,4.707,Group Beta,74.04
161,116.92,96.67,26.63,9.685,Group Gamma,80.85
162,114.45,92.82,41.79,2.631,Group Gamma,82.67
163,51.04,47.5,12.82,8.576,Group Alpha,48.19
164,54.05,48.48,3.38,2.473,Group Alpha,44.86
165,114.73,93.94,16.41,5.708,Group Gamma,88.75
166,60.45,53.71,7.47,8.349,Group Alpha,52.33
167,55.54,46.61,9.32,3.712,Group Beta,42.3
168,80.22,78.55,3.96,9.096,Group Beta,69.31
169,59.95,43.91,35.54,6.618,Group Alpha,46.47
170,92.26,84.91,2.25,8.146,Group Gamma,71.32
171,87.59,87.05,33.65,8.097,Group Beta,73.27
172,74.49,61.62,4.29,7.696,Group Beta,57.1
173,110.86,90.76,21.56,8.891,Group Gamma,78.68
174,62.45,54.29,1.76,8.618,Group Alpha,51.02
175,46.76,40.18,23.94,2.349,Group Alpha,41.31
176,89.08,72.2,19.1,6.77,Group Beta,70.69
177,54.96,60.6,4.35,4.111,Group Alpha,48.05
178,88.66,83.98,9.3,9.526,Group Gamma,66.91
179,53.36,44.39,10.57,6.503,Group Alpha,40.38
180,51.31,52.11,17.89,9.302,Group Alpha,42.6
